"route_id","service_id","trip_id","trip_headsign"
"6","113","144","Heidelberg Hbf"
"4","126","167","Kassel-Wilhelmshöhe"
"5","127","168","Kassel-Wilhelmshöhe"
"7","140","189","Heidelberg Hbf"
"8","146","200","Hamburg-Altona"
"9","147","201","Frankfurt(Main)Hbf"
"0","148","202","Kassel-Wilhelmshöhe"
"1","149","203","Heidelberg Hbf"
"10","147","204","Kassel-Wilhelmshöhe"
"2","148","205","Karlsruhe Hbf"
"3","148","206","Kassel-Wilhelmshöhe"
"11","150","207","Frankfurt(Main)Hbf"
"17","169","238","Köln Hbf"
"18","170","239","Bonn-Bad Godesberg"
"19","171","240","Koblenz Hbf"
"22","265","381","Hannover Hbf"
"16","266","382","Hannover Hbf"
"20","266","383","Hannover Hbf"
"25","267","384","Berlin Ostbahnhof"
"27","268","386","Hamburg-Altona"
"29","269","388","Frankfurt(Main)Hbf"
"33","270","392","Interlaken Ost"
"26","271","393","Berlin Ostbahnhof"
"28","272","394","Interlaken Ost"
"30","273","395","Frankfurt(Main)Hbf"
"31","274","396","Interlaken Ost"
"32","275","397","Interlaken Ost"
"37","407","640","Lindau Hbf"
"35","408","641","Innsbruck Hbf"
"39","430","678","München Hbf"
"47","437","686","München Hbf"
"48","438","687","Köln Hbf"
"56","446","695","Köln Hbf"
"58","448","697","Dortmund Hbf"
"38","451","700","München Hbf"
"61","452","701","München Hbf"
"63","454","703","Köln Hbf"
"65","456","705","Frankfurt(Main)Hbf"
"66","457","706","München Hbf"
"69","460","709","Essen Hbf"
"70","462","711","Essen Hbf"
"45","463","712","München Hbf"
"71","465","714","Köln Hbf"
"49","467","716","Frankfurt(Main)Hbf"
"72","468","717","Bruxelles Midi"
"43","476","734","München Hbf"
"75","477","735","Amsterdam Centraal"
"57","487","745","Basel Bad Bf"
"42","622","1092","Bruxelles Midi"
"68","623","1093","Frankfurt(Main)Hbf"
"64","670","1199","Stuttgart Hbf"
"67","697","1240","Frankfurt(Main)Hbf"
"62","715","1284","Essen Hbf"
"84","733","1329","Stuttgart Hbf"
"85","734","1330","Frankfurt(Main)Hbf"
"86","735","1331","Stuttgart Hbf"
"87","736","1332","Frankfurt(Main)Hbf"
"88","733","1333","Stuttgart Hbf"
"89","737","1334","Frankfurt(Main)Hbf"
"90","738","1335","München Hbf"
"91","739","1336","Frankfurt(Main)Hbf"
"92","740","1337","Stuttgart Hbf"
"93","741","1338","Frankfurt(Main)Hbf"
"94","742","1339","Frankfurt(Main)Hbf"
"104","764","1389","Koblenz Hbf"
"105","765","1390","Köln Hbf"
"106","766","1391","Norddeich Mole"
"99","768","1393","Norddeich Mole"
"107","769","1394","Norddeich Mole"
"102","771","1396","Emden Hbf"
"103","772","1397","Emden Hbf"
"98","774","1399","Emden Außenhafen"
"101","801","1460","Köln Hbf"
"112","835","1609","Paris Est"
"114","837","1611","Paris Est"
"115","838","1612","Paris Est"
"116","839","1613","Paris Est"
"117","840","1614","Paris Est"
"118","841","1615","Paris Est"
"113","848","1634","Paris Est"
"121","852","1649","Stuttgart Hbf"
"122","853","1650","Singen(Hohentwiel)"
"124","853","1652","Stuttgart Hbf"
"125","853","1653","Zürich HB"
"126","853","1654","Singen(Hohentwiel)"
"128","853","1656","Stuttgart Hbf"
"129","853","1657","Singen(Hohentwiel)"
"130","856","1658","Zürich HB"
"131","857","1659","Stuttgart Hbf"
"132","857","1660","Zürich HB"
"133","857","1661","Singen(Hohentwiel)"
"134","858","1662","Zürich HB"
"135","857","1663","Stuttgart Hbf"
"136","857","1664","Zürich HB"
"137","857","1665","Singen(Hohentwiel)"
"138","853","1666","Zürich HB"
"139","859","1667","Stuttgart Hbf"
"149","865","1677","Zürich HB"
"123","866","1678","Zürich HB"
"127","867","1679","Zürich HB"
"150","868","1680","Zürich HB"
"170","879","1720","Essen Hbf"
"178","887","1728","Hamm(Westf)"
"183","892","1733","München Hbf"
"185","894","1735","Berlin Gesundbrunnen"
"186","895","1736","München Hbf"
"187","896","1737","Essen Hbf"
"188","897","1738","Essen Hbf"
"166","900","1741","München Hbf"
"191","901","1742","Dortmund Hbf"
"192","902","1743","Dortmund Hbf"
"167","906","1758","München Hbf"
"196","908","1760","Essen Hbf"
"224","990","1984","Fehmarn-Burg"
"165","1060","2169","München Hbf"
"184","1063","2173","Stuttgart Hbf"
"242","1121","2364","Koebenhavn H"
"243","1122","2365","Hamburg Hbf"
"244","1121","2366","Koebenhavn H"
"245","1123","2367","Hamburg Hbf"
"246","1124","2368","Koebenhavn H"
"247","1125","2369","Hamburg Hbf"
"257","1141","2420","Köln Hbf"
"275","1161","2471","Stuttgart Hbf"
"276","1161","2472","Singen(Hohentwiel)"
"277","1161","2473","Stuttgart Hbf"
"278","1162","2474","Singen(Hohentwiel)"
"279","1161","2475","Stuttgart Hbf"
"280","1161","2476","Singen(Hohentwiel)"
"281","1161","2477","Stuttgart Hbf"
"283","1161","2479","Stuttgart Hbf"
"284","1162","2480","Singen(Hohentwiel)"
"286","1162","2482","Singen(Hohentwiel)"
"287","1163","2483","Stuttgart Hbf"
"288","1164","2484","Konstanz"
"289","1165","2485","Rottweil"
"290","1166","2486","Stuttgart Hbf"
"291","1167","2487","Stuttgart Hbf"
"292","1168","2488","Stuttgart Hbf"
"293","1167","2489","Singen(Hohentwiel)"
"282","1169","2490","Konstanz"
"285","1169","2491","Stuttgart Hbf"
"296","1173","2495","München Hbf"
"298","1175","2497","Bologna Centrale"
"299","1173","2498","München Hbf"
"300","1176","2499","Venezia Santa Lucia"
"303","1179","2502","München Hbf"
"304","1180","2503","Verona Porta Nuova"
"305","1181","2504","München Hbf"
"306","1182","2505","Innsbruck Hbf"
"307","1180","2506","München Hbf"
"308","1182","2507","Innsbruck Hbf"
"309","1183","2508","München Hbf"
"312","1187","2512","Innsbruck Hbf"
"313","1188","2513","Bologna Centrale"
"302","1207","2545","Bologna Centrale"
"301","1209","2548","München Hbf"
"212","1277","2684","Düsseldorf Hbf"
"310","1307","2765","Hamburg-Altona"
"311","148","2766","Innsbruck Hbf"
"340","1308","2768","Wien Hbf"
"341","1161","2769","München Hbf"
"342","1309","2770","Budapest-Keleti"
"344","1310","2772","Klagenfurt Hbf"
"345","1311","2773","München Hbf"
"204","1315","2779","Klagenfurt Hbf"
"354","1318","2783","München Hbf"
"362","1323","2791","München Hbf"
"368","1327","2797","Karlsruhe Hbf"
"347","1334","2806","Graz Hbf"
"346","1337","2809","Dortmund Hbf"
"366","1374","2915","München Hbf"
"372","1374","2916","München Hbf"
"361","1375","2920","München Hbf"
"363","1375","2921","München Hbf"
"364","1375","2922","München Hbf"
"339","1409","2986","Frankfurt(Main)Hbf"
"365","1420","3006","Frankfurt(Main)Hbf"
"343","1421","3007","Erfurt Hbf"
"348","1425","3020","Frankfurt(Main)Hbf"
"211","1426","3021","Düsseldorf Hbf"
"374","1438","3079","Hamburg-Altona"
"375","1440","3081","Frankfurt(Main)Hbf"
"376","1441","3082","Frankfurt(Main)Hbf"
"378","1443","3084","Wien Hbf"
"214","1446","3087","Dortmund Hbf"
"381","1448","3089","Frankfurt(Main)Hbf"
"206","1449","3090","Wien Hbf"
"382","1450","3091","Wien Hbf"
"383","1451","3092","Wien Hbf"
"384","1452","3093","Wien Hbf (Autoreisezuganlage)"
"377","1454","3095","Hamburg Hbf"
"221","1552","3388","Wien Hbf"
"379","148","3429","Hamburg-Altona"
"385","1559","3430","Wien Hbf (Autoreisezuganlage)"
"386","1564","3439","Budapest-Keleti"
"380","1577","3466","Wien Hbf"
"350","1593","3515","Saarbrücken Hbf"
"352","1425","3541","Graz Hbf"
"388","1610","3554","Hamburg-Altona"
"389","1620","3571","Leipzig Hbf"
"387","1623","3575","Karlsruhe Hbf"
"349","1425","3705","Klagenfurt Hbf"
"355","1669","3706","Klagenfurt Hbf"
"408","1686","3745","Nürnberg Hbf"
"399","1692","3771","Nürnberg Hbf"
"400","1693","3772","Nürnberg Hbf"
"402","1694","3774","Nürnberg Hbf"
"403","1695","3775","Karlsruhe Hbf"
"405","1693","3778","Nürnberg Hbf"
"390","1696","3780","Nürnberg Hbf"
"407","1697","3782","Karlsruhe Hbf"
"397","1698","3783","Karlsruhe Hbf"
"398","1698","3784","Karlsruhe Hbf"
"391","1699","3785","Karlsruhe Hbf"
"401","1698","3786","Karlsruhe Hbf"
"404","1700","3787","Karlsruhe Hbf"
"406","1701","3788","Nürnberg Hbf"
"413","266","3852","Hannover Hbf"
"420","1726","3859","Bremen Hbf"
"422","265","4042","Hannover Hbf"
"423","265","4043","Hannover Hbf"
"417","266","4044","Hannover Hbf"
"424","1776","4045","Norddeich Mole"
"415","1777","4046","Emden Außenhafen"
"416","1777","4047","Norddeich Mole"
"418","1778","4049","Hannover Hbf"
"432","1789","4065","Basel SBB"
"429","1806","4090","Zürich HB"
"440","1809","4094","Salzburg Hbf"
"441","1669","4182","Salzburg Hbf"
"438","148","4186","Hamburg-Altona"
"439","148","4187","Berchtesgaden Hbf"
"443","1847","4202","Berlin Südkreuz"
"451","1855","4210","Berlin Südkreuz"
"452","1857","4212","Stralsund Hbf"
"447","1871","4250","Stralsund Hbf"
"444","1912","4373","München Hbf"
"446","1927","4399","Stralsund Hbf"
"419","1938","4434","Norddeich Mole"
"421","1777","4435","Norddeich"
"467","1941","4440","Rostock Hbf"
"468","1942","4441","Hamburg-Altona"
"470","1944","4443","Stralsund Hbf"
"481","149","4506","Hannover Hbf"
"14","149","4508","Stralsund Hbf"
"482","1982","4509","Hannover Hbf"
"483","148","4510","Stralsund Hbf"
"484","148","4511","Hannover Hbf"
"485","1983","4512","Hannover Hbf"
"486","1984","4513","Stralsund Hbf"
"491","2015","4596","Hamburg-Altona"
"499","2030","4615","Praha hl.n."
"496","2036","4636","Praha hl.n."
"488","2037","4637","Berlin Hbf (tief)"
"497","2037","4638","Praha hl.n."
"489","2037","4639","Hamburg-Altona"
"498","2038","4640","Praha hl.n."
"492","2039","4641","Kiel Hbf"
"500","2040","4642","Praha hl.n."
"494","2041","4643","Berlin Hbf (tief)"
"501","2037","4644","Praha hl.n."
"495","2042","4645","Leipzig Hbf"
"506","2050","4673","Flensburg"
"507","2051","4674","Fredericia st"
"510","2052","4677","Flensburg"
"511","2053","4678","Fredericia st"
"514","2052","4681","Flensburg"
"515","2054","4682","Fredericia st"
"516","2056","4684","Flensburg"
"517","2057","4685","Aarhus"
"518","2058","4686","Flensburg"
"519","2059","4687","Fredericia st"
"520","2060","4688","Flensburg"
"521","2061","4689","Fredericia st"
"504","2062","4690","Flensburg"
"505","2063","4691","Aarhus"
"522","2064","4692","Hamburg Hbf"
"509","2065","4693","Aarhus"
"523","2066","4694","Hamburg Hbf"
"513","2067","4695","Aarhus"
"550","2145","4925","Stralsund Hbf"
"551","1375","4931","Zagreb Glavni Kolod."
"359","2147","4933","Zagreb Glavni Kolod."
"360","2147","4934","Rijeka"
"358","2147","4935","Venezia Santa Lucia"
"357","2149","4938","Roma Termini"
"356","2149","4939","Milano Centrale"
"552","2150","4940","Hamburg-Altona"
"554","2152","4942","Hamburg-Altona"
"556","2154","4944","München Hbf"
"557","2155","4945","Hamburg-Altona"
"558","2156","4946","München Hbf"
"561","2159","4949","Hamburg-Altona"
"562","2160","4950","München Hbf"
"564","2162","4952","München Hbf"
"567","2165","4955","Hamburg-Altona"
"568","2166","4956","München Hbf"
"569","2167","4957","München Hbf"
"553","2169","4959","München Hbf"
"555","2170","4960","München Hbf"
"563","2171","4961","Berlin Hbf (tief)"
"566","2179","4970","München Hbf"
"570","2192","5042","München Hbf"
"565","2232","5174","Berlin Hbf (tief)"
"576","2235","5177","Hamburg-Altona"
"578","2237","5179","Leipzig Hbf"
"580","2239","5181","Berlin Hbf (tief)"
"454","2241","5183","Berlin Gesundbrunnen"
"584","2247","5189","Frankfurt(Main)Hbf"
"577","2249","5193","Frankfurt(Main)Hbf"
"586","2254","5205","München Hbf"
"587","2255","5206","Hamburg-Altona"
"611","2299","5415","Dresden Hbf"
"612","2312","5469","Frankfurt(Main)Hbf"
"610","2315","5488","Stuttgart Hbf"
"544","2322","5506","Berlin Ostbahnhof"
"614","2323","5508","München Hbf"
"613","2350","5568","Zürich HB"
"616","2384","5717","Braunschweig Hbf"
"617","2385","5718","Cottbus"
"541","2400","5751","Stuttgart Hbf"
"209","2401","5752","Stralsund Hbf"
"471","2403","5759","Rostock Hbf"
"472","2403","5760","Leipzig Hbf"
"622","2232","5807","Oberstdorf"
"628","2417","5810","Wiesbaden Hbf"
"630","2420","5813","Wiesbaden Hbf"
"631","2421","5815","Wiesbaden Hbf"
"634","2425","5819","Wiesbaden Hbf"
