route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FLIXBUS:001,FLIXBUS,FlixBus,Freiburg - Munich,,3,,73D700,FFFFFF
FLIXBUS:002,FLIXBUS,FlixBus,Warnemünde - BAX - SXF - Leipzig,,3,,73D700,FFFFFF
FLIXBUS:006,FLIXBUS,FlixBus,Zürich - München - Berlin,,3,,73D700,FFFFFF
FLIXBUS:007,FLIXBUS,FlixBus,Hamburg - Zürich,,3,,73D700,FFFFFF
FLIXBUS:008,FLIXBUS,FlixBus,Lörrach - KA - Tübingen,,3,,73D700,FFFFFF
FLIXBUS:009,FLIXBUS,FlixBus,Berlin - Ludwigshafen,,3,,73D700,FFFFFF
FLIXBUS:011,FLIXBUS,FlixBus,Amsterdam-CGN-Freiburg-Konstanz,,3,,73D700,FFFFFF
FLIXBUS:012,FLIXBUS,FlixBus,Dresden - Leipzig - Mannheim,,3,,73D700,FFFFFF
FLIXBUS:013,FLIXBUS,FlixBus,Berlin - Frankfurt - Saarbrücken,,3,,73D700,FFFFFF
FLIXBUS:015,FLIXBUS,FlixBus,Berlin - Freiburg,,3,,73D700,FFFFFF
FLIXBUS:016,FLIXBUS,FlixBus,Freiburg - Essen,,3,,73D700,FFFFFF
FLIXBUS:017,FLIXBUS,FlixBus,Kornwestheim - Münster - Berlin,,3,,73D700,FFFFFF
FLIXBUS:020,FLIXBUS,FlixBus,Dresden - Essen,,3,,73D700,FFFFFF
FLIXBUS:021,FLIXBUS,FlixBus,Dresden - Karlsruhe - Freiburg,,3,,73D700,FFFFFF
FLIXBUS:022,FLIXBUS,FlixBus,Lörrach - Freiburg - Oldenburg,,3,,73D700,FFFFFF
FLIXBUS:023,FLIXBUS,FlixBus,Dresden - Düsseldorf,,3,,73D700,FFFFFF
FLIXBUS:024,FLIXBUS,FlixBus,Mailand - Hamburg,,3,,73D700,FFFFFF
FLIXBUS:025,FLIXBUS,FlixBus,Leipzig - Berlin - Lubmin,,3,,73D700,FFFFFF
FLIXBUS:026,FLIXBUS,FlixBus,Luxembourg/Trier - Frankfurt/Berlin,,3,,73D700,FFFFFF
FLIXBUS:027,FLIXBUS,FlixBus,Amsterdam / Wilhelmshaven / Essen - München,,3,,73D700,FFFFFF
FLIXBUS:028,FLIXBUS,FlixBus,München / Schwabach - Frankfurt - Koblenz - Düsseldorf/Bochum,,3,,73D700,FFFFFF
FLIXBUS:029,FLIXBUS,FlixBus,München - Jena - Hamburg,,3,,73D700,FFFFFF
FLIXBUS:030,FLIXBUS,FlixBus,Berlin - Düsseldorf,,3,,73D700,FFFFFF
