stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
FLIXBUS:3818,,Kleinwelka,"Hoyerswerdaer Str. 132, 02625 Kleinwelka, Germany",51.213224,14.392981,,,0,,Europe/Berlin,2,
FLIXBUS:15478,,Gorizia,"Corso Italia (fronte Stazione FS), 34170 Gorizia, Italy",45.933648,13.607471,,,0,,Europe/Rome,2,
FLIXBUS:23458,,Ostroda,"ul. Grunwaldzka 60 przy Kaufland, 14-100 Ostroda, Poland",53.692407,19.978268,,,0,,Europe/Warsaw,2,
FLIXBUS:27058,,Bivio Cantinella,"SS 106 Jonica - Pensilina intersezione stradale, 87060 Cantinella, Italy",39.663273,16.450743,,,0,,Europe/Rome,2,
FLIXBUS:29158,,"Stockholm, Skansen","Djurgårdsslätten 49, 115 21 Stockholm, Sweden",59.324119,18.101777,,,0,,Europe/Stockholm,2,
FLIXBUS:10468,,Sedan,"1 Place de la Gare, 08200 Sedan, France",49.695071,4.930709,,,0,,Europe/Paris,2,
FLIXBUS:48,,Wolfenbüttel,"Halchtersche Straße 33, 38304 Wolfenbüttel, Germany",52.156361,10.534392,,,0,,Europe/Berlin,2,
FLIXBUS:28708,,"Przemyśl, Przemyśl, Dworzec Autobusowy","ul. Stefana Czarnieckiego 4, 37-700 Przemysl, Poland",49.784125,22.775361,,,0,,Europe/Warsaw,2,
FLIXBUS:9578,,Matera,"Via Don Luigi Sturzo (Chiesa S.Paolo), 75100 Matera, Italy",40.677114,16.590159,,,0,,Europe/Rome,2,
FLIXBUS:18648,,"Râmnicu Vâlcea, Râmnicu Vâlcea (Autogara  1 MAI)","str. G. Cosbuc, nr. 4, 240000 Râmnicu Vâlcea, Romania",45.096526,24.365111,,,0,,Europe/Bucharest,2,
FLIXBUS:24838,,Göschenen,"Bahnhofplatz, 6487 Göschenen, Switzerland",46.666070,8.588400,,,0,,Europe/Zurich,2,
FLIXBUS:18088,,"Berlin, Berlin S-Treptower Park","Puschkinallee, 12435 Berlin, Germany",52.491878,13.462675,,,0,,Europe/Berlin,2,
