from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
FLIXBUS:631,FLIXBUS:631,3,,FLIXBUS:N40,FLIXBUS:424,,
FLIXBUS:9118,FLIXBUS:9118,3,,FLIXBUS:277,FLIXBUS:409,,
FLIXBUS:3968,FLIXBUS:3968,3,,FLIXBUS:N422,FLIXBUS:N955,,
FLIXBUS:1865,FLIXBUS:1865,3,,FLIXBUS:095,FLIXBUS:1921,,
FLIXBUS:2785,FLIXBUS:2785,3,,FLIXBUS:N422,FLIXBUS:N955,,
FLIXBUS:11427,FLIXBUS:11427,3,,FLIXBUS:1921,FLIXBUS:N537,,
FLIXBUS:2555,FLIXBUS:2555,3,,FLIXBUS:277,FLIXBUS:N537,,
FLIXBUS:7458,FLIXBUS:7458,3,,FLIXBUS:N391,FLIXBUS:1921,,
FLIXBUS:2555,FLIXBUS:2555,3,,FLIXBUS:277,FLIXBUS:N538,,
FLIXBUS:18948,FLIXBUS:18948,3,,FLIXBUS:1921,FLIXBUS:1944,,
FLIXBUS:25348,FLIXBUS:25348,3,,FLIXBUS:N453,FLIXBUS:450,,
FLIXBUS:25498,FLIXBUS:25498,3,,FLIXBUS:N391,FLIXBUS:451,,
FLIXBUS:10,FLIXBUS:10,3,,FLIXBUS:076,FLIXBUS:N106,,
FLIXBUS:26,FLIXBUS:26,3,,FLIXBUS:210,FLIXBUS:451,,
FLIXBUS:26,FLIXBUS:26,3,,FLIXBUS:210,FLIXBUS:450,,
FLIXBUS:2565,FLIXBUS:2565,3,,FLIXBUS:N491,FLIXBUS:409,,
FLIXBUS:25258,FLIXBUS:25258,3,,FLIXBUS:N391,FLIXBUS:450,,
FLIXBUS:25318,FLIXBUS:25318,3,,FLIXBUS:450,FLIXBUS:N537,,
FLIXBUS:2565,FLIXBUS:2565,3,,FLIXBUS:N491,FLIXBUS:424,,
FLIXBUS:12378,FLIXBUS:12378,3,,FLIXBUS:N952,FLIXBUS:N422,,
FLIXBUS:10,FLIXBUS:10,3,,FLIXBUS:040,FLIXBUS:1921,,
FLIXBUS:1304,FLIXBUS:1304,3,,FLIXBUS:N207,FLIXBUS:414,,
FLIXBUS:2785,FLIXBUS:2785,3,,FLIXBUS:N27,FLIXBUS:N422,,
FLIXBUS:1875,FLIXBUS:1875,3,,FLIXBUS:210,FLIXBUS:1921,,
FLIXBUS:13,FLIXBUS:13,3,,FLIXBUS:N76,FLIXBUS:N422,,
FLIXBUS:25228,FLIXBUS:25228,3,,FLIXBUS:N453,FLIXBUS:450,,
FLIXBUS:3758,FLIXBUS:3758,3,,FLIXBUS:N491,FLIXBUS:409,,
FLIXBUS:10338,FLIXBUS:10338,3,,FLIXBUS:N391,FLIXBUS:451,,
FLIXBUS:19,FLIXBUS:19,3,,FLIXBUS:N40,FLIXBUS:210,,
FLIXBUS:25378,FLIXBUS:25378,3,,FLIXBUS:N391,FLIXBUS:450,,
FLIXBUS:10,FLIXBUS:10,3,,FLIXBUS:N900,FLIXBUS:N422,,
FLIXBUS:25508,FLIXBUS:25508,3,,FLIXBUS:N391,FLIXBUS:451,,
FLIXBUS:10168,FLIXBUS:10168,3,,FLIXBUS:424,FLIXBUS:450,,
FLIXBUS:19,FLIXBUS:19,3,,FLIXBUS:N83,FLIXBUS:N422,,
FLIXBUS:3758,FLIXBUS:3758,3,,FLIXBUS:N491,FLIXBUS:424,,
FLIXBUS:6798,FLIXBUS:6798,3,,FLIXBUS:424,FLIXBUS:N537,,
FLIXBUS:9298,FLIXBUS:9298,3,,FLIXBUS:N76,FLIXBUS:N422,,
FLIXBUS:23708,FLIXBUS:23708,3,,FLIXBUS:N900,FLIXBUS:N422,,
FLIXBUS:10338,FLIXBUS:10338,3,,FLIXBUS:N491,FLIXBUS:451,,
FLIXBUS:2555,FLIXBUS:2555,3,,FLIXBUS:N453,FLIXBUS:409,,
FLIXBUS:25508,FLIXBUS:25508,3,,FLIXBUS:N491,FLIXBUS:451,,
FLIXBUS:10,FLIXBUS:10,3,,FLIXBUS:040,FLIXBUS:210,,
FLIXBUS:2565,FLIXBUS:2565,3,,FLIXBUS:N538,FLIXBUS:N537,,
FLIXBUS:2555,FLIXBUS:2555,3,,FLIXBUS:277,FLIXBUS:1921,,
FLIXBUS:2,FLIXBUS:2,3,,FLIXBUS:451,FLIXBUS:409,,
